Name,Loran 26,Loran 14,Loran 43,Depth,Type
#9,26889.8,,43275.0,,
120-Wreck,26873.4,,43468.3,,
17 Fathoms,26895.0,,43647.0,80-100',AREA
2 Wreck,25816.1,,43880.1,60',WRECK
28 Mile Wreck (Varanger),26828.3,,42805.1,108',WRECK
59-Pounder,26632.4,,43601.1,,
Acid Barge Wreck,,14538.7,43820.2,,
Acid Waters,26840.0,,43635.0,,
Ajace,26956.6,,43754.0,,WRECK
Akron,26726.7,,43076.0,,
Alan Martin / Sam Berman,26792.0,,43482.4,,WRECK
Algol,26794.8,,43484.9,,
Almirante,26918.0,,43025.7,,
Alvin Canyon (N.W Edge),25435.0,,43265.0,600',CANYON
Ambrose Light,26910.0,,43700.0,,
Ambrose Tower,26914.1,,43701.0,80',BUOY
Anastasia,26858.0,,43393.0,,
Andrea Doria,25147.7,,43480.7,,
Antares,26894.0,,43274.4,,
Aqua Ii,26872.5,,43194.7,,
Arundo,26796.9,,43534.8,160',WRECK
Asfalto,26831.2,,43620.8,,
Astra,26901.2,,43014.5,,
Atlantic Beach,26870.2,,43735.1,50',REEF
Atlantic Canyon,,14325.0,43300.0,,
Atlantic City Reef,26905.0,,42950.0,55',AREA
Azua,26825.4,,42803.6,,
BA Buoy,26878.0,,43631.0,160',BUOY
BA Wreck,26874.7,,43619.6,,WRECK
Babylon Valley (N.W. Edge),26005.0,,43090.0,OVER 2000,CANYON
Bacardi / Durley Chine,26308.1,,43310.6,180',WRECK
Balaena,26799.8,,43521.8,,
Bald Eagle,26831.2,,43640.3,,
Barataria,,14863.9,43965.9,,
Barnegat Inlet,26878.0,,43278.0,,
Barnegat N. Ridge,26798.1,,43250.1,70',AREA
Barnegat Reef,26891.1,,43276.1,35',AREA
Barnegat Ridge (Dropoff),26778.1,,43201.1,55',AREA
Benson,26859.5,,43566.9,,
Bidevine,26357.6,,43280.4,175',WRECK
Black Point,25796.1,,43940.3,,
Black Warrior / Rascal,26951.8,,43755.3,,
Blackpoint / Black Diamond,,14456.2,43938.5,,WRECK
Block Canyo Fish Tales,25740.0,,43340.0,500',AREA
Block Island East Grounds,,14495.0,43873.0,,
Block Island North End Buoy,,14528.5,43932.0,,
Block Island North Peak (The Hump),,14521.9,43921.9,,
Block Island Se Light,,14536.5,43867.7,,
Block Island Sw Hooter,,14563.3,43878.9,,
Block Island Sw Point,,14568.0,43873.2,,
Block Island Tuna Fleet (North),,14498.8,43824.5,,
Block Island Tuna Fleet (South),,14519.0,43788.0,,
Block Island Tuna Grounds,,14496.0,43843.0,,
Boat Molds,26900.5,,43154.4,,
Brenton Reef Tower,,14421.0,43978.0,,
Bronx Queen,26968.8,,43735.1,,
Brown'S Ledge,,14335.0,43912.0,,
Brunette (3 American barges),26916.4,,43476.0,,
Burnside,26578.4,,43551.5,,
Butterfish Hole,25900.0,14725.0,43750.0,180',AREA
Caddo,26890.4,,43207.9,,
Cadet (3 American barges),26916.4,,43475.8,,
Car Float,26953.1,,43013.1,50',WRECK
Car Float Barge #52,26911.0,,43500.7,,
Carlson II,26912.3,,43497.6,,
Cartwright,,14655.0,43815.0,,
Cartwright Shoal,25967.0,,43793.0,,
Caryru,26720.2,,42862.4,120',WRECK
Cassoon,26895.6,,43350.0,,
Catacomb Rocks,,14636.0,43967.0,,
Catamount,26649.7,,43483.2,,
Catherine Jackson,26946.6,,43505.6,,
Cecilia M. Dunlap,26941.7,,43669.9,,
Celtic / Cape Race,26798.8,,43989.9,,
Cerebus Shoals,,14685.0,43920.0,,
Chaparra,26847.6,,43239.9,,
Charlemagne Tower,26922.1,,43339.2,,
Chicken Canyon (West Edge),26402.1,,43235.0,250',CANYON
China Wreck,27098.0,,42658.3,,
Choapa,26832.5,,43549.5,,
Choctaw (Mary C),26875.2,,43191.6,,
Cholera Banks,26773.0,,43672.0,80',AREA
CIA Grounds,25909.0,,43792.0,,
Cinderella,26917.2,,43497.6,,
City Of Athens,26920.3,,42705.3,,
City Of Georgetown,26979.6,,42621.0,,
Coal,26796.4,,43761.1,70',WRECK
Coastwise,26440.3,,43596.2,,
Coimbra / Columbra,26204.0,,43576.3,174',WRECK
Coleman,26941.9,,43642.4,48',REEF
Colleen,26917.9,,43457.5,,
Coney Island,26792.0,,43481.3,,
Continent,26884.7,,43637.4,,
Cornelia Soule,26954.7,,43759.1,,
Cornelius Hargraves (Vizcaya),26854.8,,43296.7,,
Corvallis,26536.2,,43200.5,,
Cox Ledge (W. Edge),25665.0,,43150.0,180',AREA
Cox Ledge SE Corner,,14420.0,43790.0,,
Cranford Ferry,26906.8,,43503.3,,
Cultivator Shoals (Georges Bank),,13300.0,43800.0,,
Delaware,26928.4,,43467.5,,
Devil'S Bridge (Martha'S Vineyard),,14235.0,43900.0,,
Dobilas,26873.5,,43195.6,,
Dodger,26617.9,,43673.3,90',WRECK
Dorothy B. Barrett,26963.4,,42773.1,,
Dragger,26795.6,,43725.3,,
Drumelzier,26674.0,,43754.0,,
Dry Dock Barge,26908.7,,43506.7,,
Dumont,26872.1,,43197.5,,
Dump,,14375.0,43650.0,,
Dunlap,26929.8,,43722.1,78',WRECK
Dykes,26915.3,,43499.7,,
E.F. Moran,26936.1,,43020.6,,
Eagle Wreck,26891.0,,43531.0,,
Edward H. Cole,26594.6,,42876.1,170',WRECK
Edward W. Winslow,26923.8,,43534.8,,
Edwin Duke,26781.5,,43737.0,,
Emerald,26873.5,,43394.8,,
Essex,25838.0,,43872.3,,
Eureka,26772.2,,43600.2,,
F.F. Clain,26862.2,,43308.8,,
Fatuk,26871.7,,43196.1,,
Finance ?,26944.0,,43701.0,,
Fire Island Lightship / Kenosha,26599.1,,43644.6,100',BUOY
Fire Island Reef,26635.1,,43735.1,60',AREA
Fish Tales,,14650.0,43325.0,,
Florida,27001.2,,43000.7,,
Fort Victoria / Ruth Shaw,26940.1,,43710.2,48',WRECK
Forty Fathom Bank,25825.0,,43540.0,,
Fran S,26874.1,,43733.8,,
G.A.Venturo (Cannon),26908.8,,43504.4,,
Garden State N. Reef / Barnegat South Ridge,26870.0,,43205.0,55-70',AREA
Garden State S. Reef / Miller/ Rhino,26900.0,,43155.0,60',AREA
Gates City,26450.5,,43790.4,75',WRECK
Glen Island,26893.6,,43937.6,,
Glory Hole,26612.1,,43383.0,250',AREA
Gluckauf,26546.9,,43765.3,,
Good Times,26873.1,,43192.5,,
Great Eastern Rock,,14653.0,43865.0,,
Great Isaac,26840.9,,43195.2,,
Grecian,25823.8,14546.7,43830.8,,WRECK
Gulftrade (Bow),26889.2,,43263.5,,
Gulftrade (Stern),26821.3,,43318.3,,
Gully,,14497.8,43813.7,,
Gwendolyn Steers,26798.6,,43951.3,,
Gypsum Prince,27146.2,,42641.5,,
HA Buoy / H Buoy,26648.0,,43480.0,120',BUOY
Harry Rush,26855.0,,43295.0,,
Hens & Chickens,,14277.0,43962.0,,
Hudson Canyon,26267.8,,43187.9,246',WRECK
Hudson Canyon (W. Edge),26230.0,,43197.1,600',CANYON
Hvoslef,26931.6,,42450.1,,
Hylton Castle,26569.4,,43695.1,,
I.P. Goulandris,26852.5,,43575.3,,
Iberia,26855.5,,43736.1,48',WRECK
Ida K,26855.1,,43422.5,,
Immaculata,26801.8,,43583.8,,
Irene/Truro,26871.3,,43359.1,,
Isabel B. Wiley,26499.0,,42911.8,228',WRECK
Jacob Haskell,26467.9,,43183.6,216',WRECK
Jacob Jones,26920.8,,42578.4,,
JB's Lump,26773.1,,43408.1,90',AREA
John C. Fitzpatrick,26135.6,,43770.4,,
Jones Beach Reef,26780.1,,43712.0,55',AREA
Jones Valley (N.W. Edge),26030.0,,43085.0,OVER 2000,CANYON
Kennebec,26895.0,,43078.0,,
Kiley B/ Rhonda Joyce II,26908.9,,43494.6,,
King Cobra,27096.1,,42675.3,,
Klondike Ridge,26905.1,,43526.0,48',AREA
Laita,26032.5,,42680.6,,
Lana Carol,26859.9,,43419.7,,
Larchmont Wreck,,14616.4,43949.0,,
Larsen,26813.6,,43547.0,,
Lemuel Burrows,26928.2,,42991.1,,
Lexington,26652.1,,43962.8,,
Lightboat,26944.0,,43599.0,,
Lightburn Wreck,25836.2,14535.6,43872.7,,WRECK
Lillian,26697.0,,43419.4,115',WRECK
Linda,26508.8,,43601.2,,
Little Egg Reef,26925.1,,43100.1,55',AREA
Little Italy,26785.1,,43430.0,130',AREA
Lobster Hole,26865.1,,42975.0,90',AREA
Lucas Shoal (Martha'S Vineyard),,14192.0,43917.0,,
Maiden Creek,26036.0,,43439.0,225',WRECK
Maine,26938.5,,43937.8,,
Manasquan,26888.1,,43445.1,65',AREA
Manasquan Wreck,26942.0,,43497.0,,WRECK
Margret,26901.1,,43756.2,40',WRECK
Marie Tug,26905.4,,43510.7,,
Marion,26913.5,,43502.0,,
Maurice Tracy,26891.4,,43361.7,,
Mediator,26906.0,,43248.0,,
Michael DePalma,27036.9,,42751.4,,
"Middle (Wreck, North)",26378.0,,43280.0,220',WRECK
Mistletoe,26933.3,,43747.6,,
Misty Blue,26885.9,,42630.0,,WRECK
Mohawk,26878.0,,43439.9,70',WRECK
Molasses Barge,26874.0,,43195.1,,
Monster Ledge,26737.1,,43482.1,150',AREA
Moonstone Beach RI,,14500.9,43968.4,,
Morania Abaco / Francis S. Bushey,26896.1,,42948.1,,
Moriches Reef,26404.1,,43654.1,78',AREA
Mud Bouy,26906.0,,43651.0,48',BUOY
Mudhole,,14450.0,43845.0,,
Mudhole West,26810.0,,43520.0,180',AREA
NA Buoy,26605.0,,43643.1,110',BUOY
NB Buoy,26840.0,,43683.0,70',BUOY
Nebraska Shoal,,14506.7,43962.1,,
Newport (3 American barges),26916.4,,43578.6,,
Nils S. / First Lady,26900.5,,42942.4,,
Nomans Sw Shoal,,14275.0,43842.0,,
Nomans Tuna Grounds,,14306.0,43777.0,,
Norness,25487.6,,43508.8,,
North America,26963.7,,43670.8,,
Northern 29 (Whopper),26885.1,,43134.1,,
Northern Pacific,26898.7,,43557.0,,
Nw Barges,26881.9,,43293.2,,
Ocean City Reef,27022.0,,42900.0,50',AREA
Ocean Prince (Drydock #4),26631.1,,43733.5,,
Oil Wreck (Ayuruca),26841.5,,43547.1,120',WRECK
Oklahoma (Stern),26849.0,,43120.8,,
Old Acid Grounds,26840.1,,43635.1,85',AREA
Olinda,26059.0,,43966.7,,
Olsen,26925.0,,43476.0,,
Oregon,26543.1,,43676.6,114',WRECK
Orleans,26915.0,,43617.0,,
Pan Pennsylvania,26121.4,,43425.5,,
Panther,26248.7,,43802.0,,
Park City,26933.2,,43461.2,,
Patrice Mcallister,26930.5,,43061.5,,
Pauline Marine / American,26895.4,,42944.0,,
Pentland Firth,26921.2,,43682.8,,
Persephone,26897.1,,43287.1,,
Pigeon Rip,26193.5,,43960.0,,
Pinta,26880.4,,43563.5,80',WRECK
Pipe Barge,26869.7,,43738.6,,
Plum Gut,,14784.0,43939.0,,
Pocono/Augustina/Babcock/ Macedonia,26941.7,,43645.3,48-50',WRECK
Poling Brothers #2,26894.8,,43970.6,,
Princess Anne,26968.3,,43758.1,,
Queen Mary,26873.4,,43193.1,,
R.P. Resor,26638.3,,43277.1,125',WRECK
Race Rock,,14708.5,43961.0,,
Railroad Barge,26910.3,,43499.2,,
Ramos (Barge),26938.0,,43683.8,,
Ranger Wreck,,14719.6,43632.7,,
Rc Mohawk,26867.2,,43670.8,,
Reggie,26593.9,,43658.9,,
Relief Ship,26903.5,,43695.9,,
Remedios Pascual,26921.4,,43289.7,,
Republic,,14073.0,43453.6,,WRECK
Rickseckers,26913.0,,43727.1,,
Riggy Barge,26906.6,,43449.4,,
Rio Tercero,26233.9,,42963.7,,
Rip Rock,26129.5,,43952.0,,
Robert A Snow,26964.3,,43759.8,,
Rockaway,26926.0,,43748.0,40',REEF
Rockland County,26905.3,,43508.5,,
Roda,26741.3,,43756.7,,
Romer Shoals (Light House),27060.0,,43749.0,,
Rumrunner / Lizzie D,26829.1,,43696.2,78',WRECK
Rusland/Adonis,26950.2,,43598.8,,
Sagun,26098.1,,43271.1,290',WRECK
Sailing Ship,26908.0,,43243.4,,
San Saba,26853.2,,43240.6,,
Sandy Hook,26908.3,,43700.4,,
Schopocan,26903.5,,43626.5,,
Scotland Grounds,26948.1,,43695.1,48',AREA
Sea Girt Wreck,26860.5,,43471.6,,
Sea Hag,26797.3,,43286.8,,
Seaside Crane Barge,26853.5,,43361.0,,
Seawolf,26413.2,,43754.4,,
Shagwong Rock,26018.2,,43878.0,,
Sharks Ledge,,14530.0,43835.0,,
Shewbury Rocks,26950.0,,43637.0,20-70',AREA
Shirley Ann (Barge),26875.5,,43194.1,,
Simala,26925.2,,43227.0,,
Slabs (Rock Pile),26895.1,,42982.3,,
Slough,26725.1,,43390.1,110',AREA
Smithown Reef,26667.5,,43916.2,,
Sommerstad,26425.2,,43456.5,,
Southeast Grounds,26760.1,,43700.2,48',AREA
Southern Lillian,26717.9,,43079.4,,
Spartan,26910.7,,43491.2,,
Steamship,26932.4,,43707.0,,
Steel,26794.6,,43687.3,65',WRECK
Stellwagon Bank,,13800.0,44175.0,,
Stolt Dagali,26787.6,,43484.4,,
Stone Barge,26782.1,,43728.3,,
Storks Reef,26980.6,,42966.3,45',AREA
Subchaser,26920.0,,43679.4,,
Subchaser 60,26935.0,,43649.0,,
Subway Cars,26911.1,,43496.3,,
Suffolk,25644.7,,43726.0,,
Sulpher Wreck,,14538.0,43821.0,,WRECK
Sumner,26916.8,,43271.7,,
Swenson Barge I,26911.1,,43502.7,,
Swenson Barge II,26911.8,,43493.5,,
Swordfish Wreck,,14465.0,43725.0,,WRECK
T-Acara,26800.5,,43750.5,60',WRECK
Tennyson (Yonkers),26128.9,,43793.8,,
Texas Tower,26313.1,,43267.9,180',AREA
Texel,26488.0,,42714.1,250',WRECK
The Dip (N.W. Edge),25900.0,,43300.0,500',AREA
The Farms / Plymouth barge,26887.0,,43595.1,80-110,AREA
The Fingers (Banks),26661.2,,43169.1,110',AREA
The Mountain,,14365.0,43830.0,,
The Star (Ridge),26675.0,,43175.0,132',AREA
Three Sisters,26791.6,,43642.1,80',WRECK
Tin Can Grounds,26972.1,,43740.2,30',AREA
Tolton,26815.9,,43360.1,85',WRECK
Trawler (G.L.) 78,26912.9,,43663.7,,
Troop Carrier,26927.0,,43242.0,,
Tug,26881.4,,43737.2,78',WRECK
Tuna Banks,25948.8,,43743.3,,
U-550,25190.9,,43334.0,,
U-853 Wreck,25776.0,14472.8,43894.8,140',WRECK
U-869 (U-Who?),26460.0,,43145.0,,
Unknown Freighter/Geralda?,26889.0,,43507.0,,
USS Bass,25829.5,14560.4,43817.3,,WRECK
USS Cherokee,26982.0,,42519.1,,
USS Moonstone,26927.4,,42470.8,,
USS San Diego,26543.2,,43692.9,80',WRECK
USS San Jose,26877.5,,42955.3,100',WRECK
USS Tarantula,26608.9,,43609.6,,
USS Turner DD-648,26936.4,,43725.5,36',WRECK
V.L. Keegan / Dorothy,26943.0,,43647.1,48',REEF
V.P. Pessolano,26872.5,,43196.0,,
Valiant Rock,26124.5,,43955.0,,
Vega,26921.6,,43547.0,,
West Wreck,26407.8,,43293.3,198',WRECK
Wildwood Reef,27037.1,,42759.1,55',AREA
Wilkes Ledge,,14223.0,43967.0,,
Winncone,26336.2,,43078.7,222',WRECK
Wolcott,26518.1,,43712.8,,
Wreck,25800.1,,43826.1,140',WRECK
Wreck,25840.1,,43834.1,140',WRECK
Wreck #12,26913.1,,43717.1,48',WRECK
Yankee (G&D),26671.4,,43574.3,,
Yankee / G&D,26609.5,,43592.0,110',WRECK
Yp-387,27037.5,,42801.1,,
Yum Chi / Andrew,26942.7,,43161.0,,
Zeeliner,26622.9,,43735.8,,
Zpg-3W Reliance,26787.7,,43229.8,,
