"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","2002","Stratum_1"," [km2*unitless/unitless]",57560.0330452259,14772.486822788,0.256644863479857
"Large","2002","Stratum_1"," [km2*unitless/unitless]",6065.24114016282,2197.88012365617,0.362373081772861
"Small","2003","Stratum_1"," [km2*unitless/unitless]",28461.1652779312,7216.26978221132,0.253547938453765
"Large","2003","Stratum_1"," [km2*unitless/unitless]",1721.74839290184,660.912857588895,0.383861463332024
"Small","2004","Stratum_1"," [km2*unitless/unitless]",96799.3988805213,22744.1206184134,0.234961382833443
"Large","2004","Stratum_1"," [km2*unitless/unitless]",2363.75088587783,1028.64312605732,0.435174083784725
"Small","2005","Stratum_1"," [km2*unitless/unitless]",66173.6679200366,17346.8090846821,0.262140661533887
"Large","2005","Stratum_1"," [km2*unitless/unitless]",2155.52273704156,1060.93840967238,0.492195415729448
"Small","2006","Stratum_1"," [km2*unitless/unitless]",27407.5666291893,9925.77313394681,0.362154483403711
"Large","2006","Stratum_1"," [km2*unitless/unitless]",875.488056420064,490.790072211528,0.560590254330199
"Small","2007","Stratum_1"," [km2*unitless/unitless]",25799.6217084024,6443.39656093541,0.249747714666566
"Large","2007","Stratum_1"," [km2*unitless/unitless]",851.975951541897,412.919036669762,0.484660436626695
"Small","2008","Stratum_1"," [km2*unitless/unitless]",32767.0244460266,8361.81188332172,0.255189844811671
"Large","2008","Stratum_1"," [km2*unitless/unitless]",1086.3416505537,486.013685553991,0.447385668501498
"Small","2009","Stratum_1"," [km2*unitless/unitless]",19743.4484151534,4864.93333654136,0.246407478280615
"Large","2009","Stratum_1"," [km2*unitless/unitless]",1132.07416292117,491.486683879392,0.434147072671596
"Small","2010","Stratum_1"," [km2*unitless/unitless]",27971.8664288309,6187.68456680228,0.22121100079416
"Large","2010","Stratum_1"," [km2*unitless/unitless]",2269.54681680445,1055.83471750268,0.465218302475567
"Small","2011","Stratum_1"," [km2*unitless/unitless]",30203.9703299294,8072.30393500623,0.267259696219714
"Large","2011","Stratum_1"," [km2*unitless/unitless]",1777.98644921598,681.994151852156,0.383576687073688
"Small","2012","Stratum_1"," [km2*unitless/unitless]",19440.9131207447,5185.20275492121,0.266716008796328
"Large","2012","Stratum_1"," [km2*unitless/unitless]",1522.84069468799,725.187347893788,0.476206966640306
"Small","2013","Stratum_1"," [km2*unitless/unitless]",22432.25088731,5271.79617839388,0.235009683374046
"Large","2013","Stratum_1"," [km2*unitless/unitless]",1172.28556702694,514.415453232062,0.438814114667227
"Small","2014","Stratum_1"," [km2*unitless/unitless]",18318.5062510943,4884.32921608707,0.266633597146891
"Large","2014","Stratum_1"," [km2*unitless/unitless]",2247.92156768928,1101.19081794376,0.489870658199041
"Small","2015","Stratum_1"," [km2*unitless/unitless]",18087.9348412355,4834.66487985129,0.267286725780855
"Large","2015","Stratum_1"," [km2*unitless/unitless]",2429.7328247432,949.636732920347,0.39083998176659
"Small","2016","Stratum_1"," [km2*unitless/unitless]",16121.5504252629,3812.35846119656,0.236475919538265
"Large","2016","Stratum_1"," [km2*unitless/unitless]",2878.79266688144,1040.80837559106,0.361543360716745
"Small","2017","Stratum_1"," [km2*unitless/unitless]",29020.7736945666,8287.87122925427,0.285584089400275
"Large","2017","Stratum_1"," [km2*unitless/unitless]",6077.9705321707,2212.95343182027,0.364094136374525
"Small","2018","Stratum_1"," [km2*unitless/unitless]",9172.13665954921,2473.77756783649,0.269705703224669
"Large","2018","Stratum_1"," [km2*unitless/unitless]",6323.69834752151,2468.39618043292,0.39034059576868
"Small","2019","Stratum_1"," [km2*unitless/unitless]",25549.0243150863,6238.60458674121,0.244181715505175
"Large","2019","Stratum_1"," [km2*unitless/unitless]",10501.1039970035,3844.92568967865,0.366144901600424
"Small","2020","Stratum_1"," [km2*unitless/unitless]",22497.6734939421,5057.23005459548,0.224789023449791
"Large","2020","Stratum_1"," [km2*unitless/unitless]",9084.75652752884,3146.67463329203,0.346368625703538
"Small","2021","Stratum_1"," [km2*unitless/unitless]",65275.9920932994,16682.674594813,0.255571367968922
"Large","2021","Stratum_1"," [km2*unitless/unitless]",5764.83586796509,2104.68332212335,0.365089895068655
